#Top: example_top   Floorplan: synth_1   Part: xcku3p-ffva676-2-i
#Generated by: johnh   on: Thu Jul 25 14:09:49 2024
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022
#Package Version: PRODUCTION 1.1 3/9/2017
#Package Pin Delay Version: PRODUCTION 1.0 8/23/2016

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
64,P24,IOB_X0Y35,IO_L17N_T2U_N9_AD10N_64,90.773,91.685,,,,,,,,,,,,,,,,,,,,
64,P23,IOB_X0Y34,IO_L17P_T2U_N8_AD10P_64,95.330,96.288,,,,,,,,,,,,,,,,,,,,
64,R25,IOB_X0Y37,IO_L18N_T2U_N11_AD2N_64,71.509,72.228,,,,,,,,,,,,,,,,,,,,
64,P25,IOB_X0Y36,IO_L18P_T2U_N10_AD2P_64,74.819,75.571,,,,,,,,,,,,,,,,,,,,
64,T18,IOB_X0Y40,IO_L19N_T3L_N1_DBC_AD9N_64,97.312,98.290,,,,,,,,,,,,,,,,,,,,
64,R18,IOB_X0Y39,IO_L19P_T3L_N0_DBC_AD9P_64,98.631,99.622,,,,,,,,,,,,,,,,,,,,
64,R21,IOB_X0Y42,IO_L20N_T3L_N3_AD1N_64,89.675,90.576,,,,,,,,,,,,,,,,,,,,
64,P21,IOB_X0Y41,IO_L20P_T3L_N2_AD1P_64,87.763,88.645,,,,,,,,,,,,,,,,,,,,
64,T20,IOB_X0Y46,IO_L22N_T3U_N7_DBC_AD0N_64,80.687,81.498,,,,,,,,,,,,,,,,,,,,
64,T19,IOB_X0Y45,IO_L22P_T3U_N6_DBC_AD0P_64,82.033,82.857,,,,,,,,,,,,,,,,,,,,
64,R20,IOB_X0Y48,IO_L23N_T3U_N9_64,82.171,82.997,,,,,,,,,,,,,,,,,,,,
64,U21,IOB_X0Y50,IO_L24N_T3U_N11_64,76.752,77.524,,,,,,,,,,,,,,,,,,,,
64,U20,IOB_X0Y49,IO_L24P_T3U_N10_64,76.780,77.551,,,,,,,,,,,,,,,,,,,,
64,AA26,,VCCO_64,,,,,,,,,,,,,,,,,,,,VCCO_64,1.80,
64,AB23,,VCCO_64,,,,,,,,,,,,,,,,,,,,VCCO_64,1.80,
64,R24,,VCCO_64,,,,,,,,,,,,,,,,,,,,VCCO_64,1.80,
64,T21,,VCCO_64,,,,,,,,,,,,,,,,,,,,VCCO_64,1.80,
64,U18,,VCCO_64,,,,,,,,,,,,,,,,,,,,VCCO_64,1.80,
64,U19,,VREF_64,,,,,,,,,,,,,,,,,,,,,,
64,V25,,VCCO_64,,,,,,,,,,,,,,,,,,,,VCCO_64,1.80,
64,W22,,VCCO_64,,,,,,,,,,,,,,,,,,,,VCCO_64,1.80,
65,AB16,IOB_X0Y64,IO_T0U_N12_VRP_A28_65,112.747,113.881,,,,,,,,,,,,,,,,,,,,
65,AA17,IOB_X0Y77,IO_T1U_N12_SMBALERT_65,117.753,118.936,,,,,,,,,,,,,,,,,,,,
65,AA18,IOB_X0Y90,IO_T2U_N12_CSI_ADV_B_65,104.992,106.048,,,,,,,,,,,,,,,,,,,,
65,AC22,IOB_X0Y103,IO_T3U_N12_PERSTN0_65,162.113,163.742,,,,,,,,,,,,,,,,,,,,
65,AD16,IOB_X0Y53,IO_L1N_T0L_N1_DBC_RS1_65,118.838,120.032,,,,,,,,,,,,,,,,,,,,
65,AC16,IOB_X0Y52,IO_L1P_T0L_N0_DBC_RS0_65,117.504,118.685,,,,,,,,,,,,,,,,,,,,
65,AC17,IOB_X0Y55,IO_L2N_T0L_N3_FWE_FCS2_B_65,132.805,134.139,,,,,,,,,,,,,,,,,,,,
65,AB17,IOB_X0Y54,IO_L2P_T0L_N2_FOE_B_65,132.247,133.576,,,,,,,,,,,,,,,,,,,,
65,AE18,IOB_X0Y57,IO_L3N_T0L_N5_AD15N_A27_65,119.186,120.384,,,,,,,,,,,,,,,,,,,,
65,AE17,IOB_X0Y56,IO_L3P_T0L_N4_AD15P_A26_65,119.532,120.733,,,,,,,,,,,,,,,,,,,,
