Designator,Mid X,Mid Y,Rotation,Layer
TP23,184.475,-94.25,0.0,top
TP24,176.775,-88.9,0.0,top
TP25,176.775,-87.9,0.0,top
TP26,181.125,-90.05,0.0,top
TP27,183.45,-90.745,0.0,top
TP28,198.875,-93.225,0.0,top
TP29,194.675,-74.35,0.0,bottom
TP30,194.99,-75.38,0.0,bottom
TP31,209.625,-81.4,0.0,bottom
TP32,210.525,-81.4,0.0,bottom
TP33,198.95,-63.85,0.0,top
TP36,200.925,-59.275,0.0,top
TP39,180.375,-59.3,0.0,top
TP42,181.825,-93.625,0.0,top
TP43,184.3,-91.425,0.0,top
TP44,184.3,-92.125,0.0,top
TP45,184.3,-92.825,0.0,top
TP46,187.768499,-94.839,0.0,bottom
TP47,182.575,-67.15,0.0,top
TP5,216.175,-68.025,0.0,top
TP50,197.575,-79.85,135.0,bottom
TP51,197.080025,-79.355025,135.0,bottom
TP52,215.15,-79.175,0.0,top
TP53,202.125,-70.8,0.0,bottom
TP54,212.775,-81.025,0.0,bottom
TP55,202.125,-72.2,0.0,bottom
TP56,194.675,-77.5,0.0,bottom
TP57,194.675,-78.35,0.0,bottom
TP6,214.364999,-72.475,0.0,top
TP7,214.355,-67.275,0.0,top
TP8,217.0,-68.025,0.0,top
TP9,198.25,-71.975,0.0,bottom
U1,200.125,-78.475,0.0,top
U10,221.8875,-94.425001,90.0,top
U11,204.925,-94.3,0.0,bottom
U13,203.3234,-60.975001,90.0,top
U15,202.3734,-58.824999,90.0,top
U17,181.624999,-58.824999,90.0,top
U19,183.674999,-66.074999,90.0,top
U2,185.125,-87.225,180.0,bottom
U20,179.025,-63.525,90.0,bottom
U21,184.275,-70.925,90.0,top
U22,186.175,-71.525,0.0,bottom
U23,209.875,-76.9,90.0,bottom
U24,212.5685,-96.925,0.0,top
U25,187.768499,-98.375001,180.0,top
U3,216.975,-70.275,180.0,top
U4,222.455,-61.025,180.0,top
U5,212.475,-58.325,90.0,top
U7,177.925,-92.024201,270.0,top
U8,180.925,-94.025,0.0,bottom
U9,191.525,-59.025,0.0,top
Y1,186.8,-91.875,270.0,bottom
Y2,214.775,-76.3,270.0,bottom
